Division Number: 14
Division Date: 9 January 2020 - 17:10

Third Reading of the European Union (Withdrawal Agreement) Bill

Aye Count: 330
No Count: 231
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Simon Baynes","Conservative","Clwyd South","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","No",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye",""
"Hilary Benn","Labour","Leeds Central","No",""
"Scott Benton","Conservative","Blackpool South","Aye",""
"Paul Beresford","Conservative","Mole Valley","Aye",""
"Jake Berry","Conservative","Rossendale and Darwen","No Vote Recorded",""
"Clive Betts","Labour","Sheffield South East","No",""
"Saqib Bhatti","Conservative","Meriden","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No",""
"Bob Blackman","Conservative","Harrow East","Aye",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No",""
"Olivia Blake","Labour","Sheffield, Hallam","No",""
"Paul Blomfield","Labour","Sheffield Central","No",""
"Crispin Blunt","Conservative","Reigate","Aye",""
"Peter Bone","Conservative","Wellingborough","Aye",""
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Tracy Brabin","Labour","Batley and Spen","No",""
"Ben Bradley","Conservative","Mansfield","Aye",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Ben Bradshaw","Labour","Exeter","No",""
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Suella Braverman","Conservative","Fareham","Aye",""
"Kevin Brennan","Labour","Cardiff West","No",""
"Jack Brereton","Conservative","Stoke-on-Trent South","Aye",""
"Andrew Bridgen","Conservative","North West Leicestershire","Aye",""
"Steve Brine","Conservative","Winchester","Aye",""
"Paul Bristow","Conservative","Peterborough","Aye",""
"Sara Britcliffe","Conservative","Hyndburn","Aye",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","Aye",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","No",""
"Lyn Brown","Labour","West Ham","No",""
"Anthony Browne","Conservative","South Cambridgeshire","Aye",""
"Fiona Bruce","Conservative","Congleton","Aye",""
"Chris Bryant","Labour","Rhondda","No",""
"Felicity Buchan","Conservative","Kensington","Aye",""
"Karen Buck","Labour","Westminster North","No",""
"Robert Buckland","Conservative","South Swindon","Aye",""
"Alex Burghart","Conservative","Brentwood and Ongar","Aye",""
"Richard Burgon","Labour","Leeds East","No",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","No",""
"Robert Butler","Conservative","Aylesbury","Aye",""
"Ian Byrne","Labour","Liverpool, West Derby","No",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","No",""
"Ruth Cadbury","Labour","Brentford and Isleworth","No",""
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","No",""
"Dan Carden","Labour","Liverpool, Walton","No",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No",""
"Andy Carter","Conservative","Warrington South","Aye",""
"James Cartlidge","Conservative","South Suffolk","Aye",""
"William Cash","Conservative","Stone","Aye",""
"Miriam Cates","Conservative","Penistone and Stocksbridge","Aye",""
"Maria Caulfield","Conservative","Lewes","Aye",""
"Alex Chalk","Conservative","Cheltenham","Aye",""
"Wendy Chamberlain","Liberal Democrat","North East Fife","No",""
"Sarah Champion","Labour","Rotherham","No Vote Recorded",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No",""
"Bambos Charalambous","Labour","Enfield, Southgate","No",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No",""
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye",""
"Christopher Chope","Conservative","Christchurch","Aye",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye",""
"Feryal Clark","Labour","Enfield North","No",""
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","Aye",""
"Theo Clarke","Conservative","Stafford","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye",""
"Chris Clarkson","Conservative","Heywood and Middleton","Aye",""
"James Cleverly","Conservative","Braintree","Aye",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","Aye",""
"Thérèse Coffey","Conservative","Suffolk Coastal","Aye",""
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye",""
"Damian Collins","Conservative","Folkestone and Hythe","Aye",""
"Daisy Cooper","Liberal Democrat","St Albans","No",""
"Rosie Cooper","Labour","West Lancashire","No Vote Recorded",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","No",""
"Jeremy Corbyn","Labour","Islington North","No",""
"Alberto Costa","Conservative","South Leicestershire","Aye",""
"Robert Courts","Conservative","Witney","Aye",""
"Claire Coutinho","Conservative","East Surrey","Aye",""
"Ronnie Cowan","Scottish National Party","Inverclyde","No",""
"Geoffrey Cox","Conservative","Torridge and West Devon","Aye",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","No",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","Aye",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No",""
"Stella Creasy","Labour","Walthamstow","No","Peter Kyle"
"Virginia Crosbie","Conservative","Ynys Môn","Aye",""
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye",""
"Jon Cruddas","Labour","Dagenham and Rainham","No Vote Recorded",""
"John Cryer","Labour","Leyton and Wanstead","No","Mark Tami"
"Judith Cummins","Labour","Bradford South","No",""
"Alex Cunningham","Labour","Stockton North","No",""
"Janet Daby","Labour","Lewisham East","No",""
"James Daly","Conservative","Bury North","Aye",""
"Edward Davey","Liberal Democrat","Kingston and Surbiton","No",""
"Wayne David","Labour","Caerphilly","No",""
"David T C Davies","Conservative","Monmouth","Aye",""
"James Davies","Conservative","Vale of Clwyd","Aye",""
"Gareth Davies","Conservative","Grantham and Stamford","Aye",""
"Geraint Davies","Labour","Swansea West","No",""
"Mims Davies","Conservative","Mid Sussex","Aye",""
"Philip Davies","Conservative","Shipley","Aye",""
"Alex Davies-Jones","Labour","Pontypridd","No",""
"David Davis","Conservative","Haltemprice and Howden","Aye",""
"Dehenna Davison","Conservative","Bishop Auckland","Aye",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No",""
"Marsha De Cordova","Labour","Battersea","No",""
"Thangam Debbonaire","Labour","Bristol West","No",""
"Tanmanjeet Singh Dhesi","Labour","Slough","No",""
"Caroline Dinenage","Conservative","Gosport","No Vote Recorded",""
"Sarah Dines","Conservative","Derbyshire Dales","Aye",""
"Jonathan Djanogly","Conservative","Huntingdon","Aye",""
"Leo Docherty","Conservative","Aldershot","Aye",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No",""
"Anneliese Dodds","Labour","Oxford East","No",""
"Jeffrey M Donaldson","Democratic Unionist Party","Lagan Valley","No Vote Recorded",""
"Michelle Donelan","Conservative","Chippenham","No Vote Recorded",""
"Dave Doogan","Scottish National Party","Angus","No",""
"Allan Dorans","Scottish National Party","Ayr, Carrick and Cumnock","No",""
"Nadine Dorries","Conservative","Mid Bedfordshire","Aye",""
"Steve Double","Conservative","St Austell and Newquay","Aye",""
"Stephen Doughty","Labour","Cardiff South and Penarth","No",""
"Peter Dowd","Labour","Bootle","No",""
"Oliver Dowden","Conservative","Hertsmere","Aye",""
"Jackie Doyle-Price","Conservative","Thurrock","Aye",""
"Richard Drax","Conservative","South Dorset","Aye",""
"Jack Dromey","Labour","Birmingham, Erdington","No",""
"Flick Drummond","Conservative","Meon Valley","Aye",""
"James Duddridge","Conservative","Rochford and Southend East","Aye",""
"Rosie Duffield","Labour","Canterbury","No",""
"David Duguid","Conservative","Banff and Buchan","Aye",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","Aye",""
"Philip Dunne","Conservative","Ludlow","Aye",""
"Maria Eagle","Labour","Garston and Halewood","No",""
"Angela Eagle","Labour","Wallasey","No",""
"Colum Eastwood","Social Democratic & Labour Party","Foyle","No",""
"Mark Eastwood","Conservative","Dewsbury","Aye",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","No",""
"Ruth Edwards","Conservative","Rushcliffe","Aye",""
"Clive Efford","Labour","Eltham","No",""
"Julie Elliott","Labour","Sunderland Central","No",""
"Michael Ellis","Conservative","Northampton North","Aye",""
"Tobias Ellwood","Conservative","Bournemouth East","Aye",""
"Chris Elmore","Labour","Ogmore","No",""
"Natalie Elphicke","Conservative","Dover","Aye",""
"Florence Eshalomi","Labour","Vauxhall","No",""
"Bill Esterson","Labour","Sefton Central","No",""
"George Eustice","Conservative","Camborne and Redruth","Aye",""
"Chris Evans","Labour","Islwyn","No Vote Recorded",""
"Luke Evans","Conservative","Bosworth","Aye",""
"Nigel Evans","Deputy Speaker","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","Aye",""
"Ben Everitt","Conservative","Milton Keynes North","Aye",""
"Michael Fabricant","Conservative","Lichfield","Aye",""
"Laura Farris","Conservative","Newbury","Aye",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No",""
"Stephen Farry","Alliance","North Down","No",""
"Simon Fell","Conservative","Barrow and Furness","Aye",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No Vote Recorded",""
"Margaret Ferrier","Scottish National Party","Rutherglen and Hamilton West","No",""
"John Finucane","Sinn Féin","Belfast North","No Vote Recorded",""
"Colleen Fletcher","Labour","Coventry North East","No",""
"Katherine Fletcher","Conservative","South Ribble","Aye",""
"Mark Fletcher","Conservative","Bolsover","Aye",""
"Nick Fletcher","Conservative","Don Valley","Aye",""
"Stephen Flynn","Scottish National Party","Aberdeen South","No","Patrick Grady"
"Vicky Ford","Conservative","Chelmsford","Aye",""
"Kevin Foster","Conservative","Torbay","Aye",""
"Yvonne Fovargue","Labour","Makerfield","No Vote Recorded",""
"Liam Fox","Conservative","North Somerset","Aye",""
"Vicky Foxcroft","Labour","Lewisham, Deptford","No",""
"Mary Kelly Foy","Labour","City of Durham","No",""
"Mark Francois","Conservative","Rayleigh and Wickford","Aye",""
"Lucy Frazer","Conservative","South East Cambridgeshire","Aye",""
"George Freeman","Conservative","Mid Norfolk","Aye",""
"Mike Freer","Conservative","Finchley and Golders Green","Aye",""
"Richard Fuller","Conservative","North East Bedfordshire","Aye",""
"Gill Furniss","Labour","Sheffield, Brightside and Hillsborough","No",""
"Marcus Fysh","Conservative","Yeovil","No Vote Recorded",""
"Roger Gale","Conservative","North Thanet","No Vote Recorded",""
"Barry Gardiner","Labour","Brent North","No Vote Recorded",""
"Mark Garnier","Conservative","Wyre Forest","Aye",""
"Nusrat Ghani","Conservative","Wealden","Aye",""
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","Aye",""
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","No",""
"Peter Gibson","Conservative","Darlington","Aye",""
"Jo Gideon","Conservative","Stoke-on-Trent Central","Aye",""
"Michelle Gildernew","Sinn Féin","Fermanagh and South Tyrone","No Vote Recorded",""
"Preet Kaur Gill","Labour","Birmingham, Edgbaston","No",""
"Cheryl Gillan","Conservative","Chesham and Amersham","No Vote Recorded",""
"Paul Girvan","Democratic Unionist Party","South Antrim","No Vote Recorded",""
"John Glen","Conservative","Salisbury","Aye",""
"Mary Glindon","Labour","North Tyneside","No Vote Recorded",""
"Robert Goodwill","Conservative","Scarborough and Whitby","Aye",""
"Michael Gove","Conservative","Surrey Heath","Aye",""
"Patrick Grady","Scottish National Party","Glasgow North","No",""
"Richard Graham","Conservative","Gloucester","Aye",""
"Helen Grant","Conservative","Maidstone and The Weald","Aye",""
"Peter Grant","Scottish National Party","Glenrothes","No",""
"James Gray","Conservative","North Wiltshire","Aye",""
"Neil Gray","Scottish National Party","Airdrie and Shotts","No",""
"Chris Grayling","Conservative","Epsom and Ewell","Aye",""
"Chris Green","Conservative","Bolton West","No Vote Recorded",""
"Damian Green","Conservative","Ashford","Aye",""
"Kate Green","Labour","Stretford and Urmston","No",""
"Lilian Greenwood","Labour","Nottingham South","No",""
"Margaret Greenwood","Labour","Wirral West","No",""
"Andrew Griffith","Conservative","Arundel and South Downs","Aye",""
"Nia Griffith","Labour","Llanelli","No",""
"Kate Griffiths","Conservative","Burton","Aye",""
"James Grundy","Conservative","Leigh","Aye",""
"Jonathan Gullis","Conservative","Stoke-on-Trent North","Aye",""
"Andrew Gwynne","Labour","Denton and Reddish","No Vote Recorded",""
"Louise Haigh","Labour","Sheffield, Heeley","No",""
"Robert Halfon","Conservative","Harlow","Aye",""
"Luke Hall","Conservative","Thornbury and Yate","Aye",""
"Fabian Hamilton","Labour","Leeds North East","No",""
"Stephen Hammond","Conservative","Wimbledon","Aye",""
"Matt Hancock","Conservative","West Suffolk","Aye",""
"Greg Hands","Conservative","Chelsea and Fulham","Aye",""
"Claire Hanna","Social Democratic & Labour Party","Belfast South","No",""
"Neale Hanvey","Independent","Kirkcaldy and Cowdenbeath","No Vote Recorded",""
"Emma Hardy","Labour","Kingston upon Hull West and Hessle","No Vote Recorded",""
"Harriet Harman","Labour","Camberwell and Peckham","No Vote Recorded",""
"Mark Harper","Conservative","Forest of Dean","Aye",""
"Carolyn Harris","Labour","Swansea East","No",""
"Rebecca Harris","Conservative","Castle Point","Aye",""
"Trudy Harrison","Conservative","Copeland","No Vote Recorded",""
"Sally-Ann Hart","Conservative","Hastings and Rye","Aye",""
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","Aye",""
"Helen Hayes","Labour","Dulwich and West Norwood","No",""
"John Hayes","Conservative","South Holland and The Deepings","Aye",""
"Chris Hazzard","Sinn Féin","South Down","No Vote Recorded",""
"Oliver Heald","Conservative","North East Hertfordshire","Aye",""
"John Healey","Labour","Wentworth and Dearne","No Vote Recorded",""
"James Heappey","Conservative","Wells","No Vote Recorded",""
"Chris Heaton-Harris","Conservative","Daventry","Aye",""
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","Aye",""
"Mark Hendrick","Labour","Preston","No",""
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","No",""
"Darren Henry","Conservative","Broxtowe","Aye",""
"Antony Higginbotham","Conservative","Burnley","Aye",""
"Mike Hill","Labour","Hartlepool","No Vote Recorded",""
"Meg Hillier","Labour","Hackney South and Shoreditch","No",""
"Damian Hinds","Conservative","East Hampshire","Aye",""
"Simon Hoare","Conservative","North Dorset","Aye",""
"Wera Hobhouse","Liberal Democrat","Bath","No",""
"Margaret Hodge","Labour","Barking","No Vote Recorded",""
"Sharon Hodgson","Labour","Washington and Sunderland West","No Vote Recorded",""
"Richard Holden","Conservative","North West Durham","Aye",""
"Kate Hollern","Labour","Blackburn","No",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","Aye",""
"Philip Hollobone","Conservative","Kettering","Aye",""
"Adam Holloway","Conservative","Gravesham","Aye",""
"Paul Holmes","Conservative","Eastleigh","Aye",""
"Rachel Hopkins","Labour","Luton South","No",""
"Stewart Hosie","Scottish National Party","Dundee East","No",""
"George Howarth","Labour","Knowsley","No Vote Recorded",""
"John Howell","Conservative","Henley","Aye",""
"Paul Howell","Conservative","Sedgefield","Aye",""
"Lindsay Hoyle","Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Mid Worcestershire","Aye",""
"Neil Hudson","Conservative","Penrith and The Border","Aye",""
"Eddie Hughes","Conservative","Walsall North","Aye",""
"Jane Hunt","Conservative","Loughborough","Aye",""
"Jeremy Hunt","Conservative","South West Surrey","Aye",""
"Tom Hunt","Conservative","Ipswich","Aye",""
"Rupa Huq","Labour","Ealing Central and Acton","No",""
"Imran Hussain","Labour","Bradford East","No",""
"Alister Jack","Conservative","Dumfries and Galloway","Aye",""
"Christine Jardine","Liberal Democrat","Edinburgh West","No",""
"Dan Jarvis","Labour","Barnsley Central","No Vote Recorded",""
"Sajid Javid","Conservative","Bromsgrove","Aye",""
"Ranil Jayawardena","Conservative","North East Hampshire","No Vote Recorded",""
"Bernard Jenkin","Conservative","Harwich and North Essex","Aye",""
"Mark Jenkinson","Conservative","Workington","Aye",""
"Andrea Jenkyns","Conservative","Morley and Outwood","Aye",""
"Robert Jenrick","Conservative","Newark","Aye",""
"Boris Johnson","Conservative","Uxbridge and South Ruislip","Aye",""
"Diana Johnson","Labour","Kingston upon Hull North","No",""
"Caroline Johnson","Conservative","Sleaford and North Hykeham","Aye",""
"Gareth Johnson","Conservative","Dartford","Aye",""
"Kim Johnson","Labour","Liverpool, Riverside","No",""
"David Johnston","Conservative","Wantage","Aye",""
"Andrew Jones","Conservative","Harrogate and Knaresborough","Aye",""
"Darren Jones","Labour","Bristol North West","No",""
"Fay Jones","Conservative","Brecon and Radnorshire","Aye",""
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","No",""
"David Jones","Conservative","Clwyd West","Aye",""
"Kevan Jones","Labour","North Durham","No Vote Recorded",""
"Marcus Jones","Conservative","Nuneaton","Aye",""
"Ruth Jones","Labour","Newport West","No",""
"Sarah Jones","Labour","Croydon Central","No",""
"Simon Jupp","Conservative","East Devon","Aye",""
"Mike Kane","Labour","Wythenshawe and Sale East","No",""
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","Aye",""
"Alicia Kearns","Conservative","Rutland and Melton","Aye",""
"Gillian Keegan","Conservative","Chichester","Aye",""
"Barbara Keeley","Labour","Worsley and Eccles South","No",""
"Liz Kendall","Labour","Leicester West","No",""
"Afzal Khan","Labour","Manchester, Gorton","No",""
"Stephen Kinnock","Labour","Aberavon","No",""
"Julian Knight","Conservative","Solihull","Aye",""
"Greg Knight","Conservative","East Yorkshire","No Vote Recorded",""
"Danny Kruger","Conservative","Devizes","Aye",""
"Kwasi Kwarteng","Conservative","Spelthorne","Aye",""
"Peter Kyle","Labour","Hove","No",""
"Eleanor Laing","Deputy Speaker","Epping Forest","No Vote Recorded",""
"Ben Lake","Plaid Cymru","Ceredigion","No",""
"David Lammy","Labour","Tottenham","No",""
"John Lamont","Conservative","Berwickshire, Roxburgh and Selkirk","No Vote Recorded",""
"Robert Largan","Conservative","High Peak","Aye",""
"Pauline Latham","Conservative","Mid Derbyshire","Aye",""
"Ian Lavery","Labour","Wansbeck","No Vote Recorded",""
"Chris Law","Scottish National Party","Dundee West","No",""
"Andrea Leadsom","Conservative","South Northamptonshire","Aye",""
"Edward Leigh","Conservative","Gainsborough","Aye",""
"Ian Levy","Conservative","Blyth Valley","Aye",""
"Emma Lewell-Buck","Labour","South Shields","No Vote Recorded",""
"Andrew Lewer","Conservative","Northampton South","Aye",""
"Brandon Lewis","Conservative","Great Yarmouth","Aye",""
"Clive Lewis","Labour","Norwich South","No",""
"Julian Lewis","Conservative","New Forest East","Aye",""
"Ian Liddell-Grainger","Conservative","Bridgwater and West Somerset","Aye",""
"David Linden","Scottish National Party","Glasgow East","No",""
"Tony Lloyd","Labour","Rochdale","No",""
"Carla Lockhart","Democratic Unionist Party","Upper Bann","No Vote Recorded",""
"Chris Loder","Conservative","West Dorset","Aye",""
"Mark Logan","Conservative","Bolton North East","Aye",""
"Rebecca Long Bailey","Labour","Salford and Eccles","No",""
"Marco Longhi","Conservative","Dudley North","Aye",""
"Julia Lopez","Conservative","Hornchurch and Upminster","Aye","Lee Rowley"
"Jack Lopresti","Conservative","Filton and Bradley Stoke","Aye",""
"Jonathan Lord","Conservative","Woking","Aye",""
"Tim Loughton","Conservative","East Worthing and Shoreham","Aye",""
"Caroline Lucas","Green Party","Brighton, Pavilion","No",""
"Holly Lynch","Labour","Halifax","No",""
"Kenny MacAskill","Scottish National Party","East Lothian","No",""
"Craig Mackinlay","Conservative","South Thanet","Aye",""
"Cherilyn Mackrory","Conservative","Truro and Falmouth","Aye",""
"Rachel Maclean","Conservative","Redditch","Aye",""
"Angus Brendan MacNeil","Scottish National Party","Na h-Eileanan an Iar","No",""
"Justin Madders","Labour","Ellesmere Port and Neston","No",""
"Khalid Mahmood","Labour","Birmingham, Perry Barr","No",""
"Shabana Mahmood","Labour","Birmingham, Ladywood","No",""
"Alan Mak","Conservative","Havant","Aye",""
"Seema Malhotra","Labour","Feltham and Heston","No",""
"Kit Malthouse","Conservative","North West Hampshire","Aye",""
"Anthony Mangnall","Conservative","Totnes","Aye",""
"Scott Mann","Conservative","North Cornwall","Aye",""
"Julie Marson","Conservative","Hertford and Stortford","Aye",""
"Rachael Maskell","Labour","York Central","No",""
"Paul Maskey","Sinn Féin","Belfast West","No Vote Recorded",""
"Christian Matheson","Labour","City of Chester","No",""
"Theresa May","Conservative","Maidenhead","Aye",""
"Jerome Mayhew","Conservative","Broadland","Aye",""
"Paul Maynard","Conservative","Blackpool North and Cleveleys","Aye",""
"Steve McCabe","Labour","Birmingham, Selly Oak","No",""
"Kerry McCarthy","Labour","Bristol East","No",""
"Jason McCartney","Conservative","Colne Valley","Aye",""
"Karl McCartney","Conservative","Lincoln","Aye",""
"Siobhain McDonagh","Labour","Mitcham and Morden","No",""
"Andy McDonald","Labour","Middlesbrough","No",""
"Stewart Malcolm McDonald","Scottish National Party","Glasgow South","No",""
"Stuart C McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East","No",""
"John McDonnell","Labour","Hayes and Harlington","No",""
"Pat McFadden","Labour","Wolverhampton South East","No",""
"Conor McGinn","Labour","St Helens North","No",""
"Alison McGovern","Labour","Wirral South","No",""
"Catherine McKinnell","Labour","Newcastle upon Tyne North","No",""
"Anne McLaughlin","Scottish National Party","Glasgow North East","No",""
"Jim McMahon","Labour","Oldham West and Royton","No",""
"Anna McMorrin","Labour","Cardiff North","No",""
"John McNally","Scottish National Party","Falkirk","No Vote Recorded",""
"Stephen McPartland","Conservative","Stevenage","Aye",""
"Esther McVey","Conservative","Tatton","Aye",""
"Ian Mearns","Labour","Gateshead","No",""
"Mark Menzies","Conservative","Fylde","Aye",""
"Johnny Mercer","Conservative","Plymouth, Moor View","Aye",""
"Huw Merriman","Conservative","Bexhill and Battle","Aye",""
"Stephen Metcalfe","Conservative","South Basildon and East Thurrock","Aye",""
"Edward Miliband","Labour","Doncaster North","No",""
"Robin Millar","Conservative","Aberconwy","Aye",""
"Maria Miller","Conservative","Basingstoke","Aye",""
"Amanda Milling","Conservative","Cannock Chase","Aye",""
"Nigel Mills","Conservative","Amber Valley","Aye",""
"Navendu Mishra","Labour","Stockport","No",""
"Andrew Mitchell","Conservative","Sutton Coldfield","No Vote Recorded",""
"Gagan Mohindra","Conservative","South West Hertfordshire","Aye",""
"Francie Molloy","Sinn Féin","Mid Ulster","No Vote Recorded",""
"Carol Monaghan","Scottish National Party","Glasgow North West","No",""
"Damien Moore","Conservative","Southport","Aye",""
"Robbie Moore","Conservative","Keighley","Aye",""
"Layla Moran","Liberal Democrat","Oxford West and Abingdon","No",""
"Penny Mordaunt","Conservative","Portsmouth North","Aye",""
"Jessica Morden","Labour","Newport East","No",""
"Stephen Morgan","Labour","Portsmouth South","No",""
"Anne Marie Morris","Conservative","Newton Abbot","Aye",""
"David Morris","Conservative","Morecambe and Lunesdale","Aye",""
"Grahame Morris","Labour","Easington","No Vote Recorded",""
"James Morris","Conservative","Halesowen and Rowley Regis","Teller - Ayes",""
"Joy Morrissey","Conservative","Beaconsfield","Aye",""
"Wendy Morton","Conservative","Aldridge-Brownhills","Aye",""
"Kieran Mullan","Conservative","Crewe and Nantwich","Aye",""
"Holly Mumby-Croft","Conservative","Scunthorpe","Aye",""
"David Mundell","Conservative","Dumfriesshire, Clydesdale and Tweeddale","Aye",""
"Ian Murray","Labour","Edinburgh South","No",""
"James Murray","Labour","Ealing North","No",""
"Sheryll Murray","Conservative","South East Cornwall","Aye",""
"Andrew Murrison","Conservative","South West Wiltshire","Aye",""
"Lisa Nandy","Labour","Wigan","No",""
"Robert Neill","Conservative","Bromley and Chislehurst","Aye",""
"Gavin Newlands","Scottish National Party","Paisley and Renfrewshire North","No",""
"Charlotte Nichols","Labour","Warrington North","No Vote Recorded",""
"Lia Nici-Townend","Conservative","Great Grimsby","Aye",""
"John Nicolson","Scottish National Party","Ochil and South Perthshire","No",""
"Caroline Nokes","Conservative","Romsey and Southampton North","Aye",""
"Jesse Norman","Conservative","Hereford and South Herefordshire","Aye",""
"Alex Norris","Labour","Nottingham North","No",""
"Neil O'Brien","Conservative","Harborough","Aye",""
"Matthew Offord","Conservative","Hendon","Aye",""
"Brendan O'Hara","Scottish National Party","Argyll and Bute","No",""
"Sarah Olney","Liberal Democrat","Richmond Park","No",""
"Chi Onwurah","Labour","Newcastle upon Tyne Central","No",""
"Guy Opperman","Conservative","Hexham","Aye",""
"Abena Oppong-Asare","Labour","Erith and Thamesmead","No",""
"Kate Osamor","Labour","Edmonton","No",""
